FMID,Website,Facebook,Twitter,Youtube,OtherMedia
1006988,http://www.abingtonsage.com,,,,
1011313,,https://www.facebook.com/pages/Abita-Springs-Farmers-Market/480144062040727,,,
1004762,http://www.abquptowngrowersmarket.org,,,,
1009543,http://www.appleblossomvillage.com/,https://www.facebook.com/pages/Apple-Blossom-Village/105223639518965,,,
1002108,,www.Facebook.com/AcadiaFarmersMarket,,,
1008461,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=1877,,,,
1011180,http://Www.AcreageGreenMarket.com,https://www.facebook.com/AcreageGreenmarket,,,
1003469,http://www.ABFarmersMarket.org,,,,
1018003,http://www.acushnetfarmersmarket.com,www.facebook.com/pages/Acushnet-Farmers-Market,,,http://instagram.com/Acushnetfarmersmarket
1001083,http://www.adafarmersmarket.com,https://www.facebook.com/adafarmersmarket,https://twitter.com/AdaFarmersMkt,,
1010467,http://www.adairsvillefarmersmarket.com,"Adairsville Farmers Market",,,
1019431,,facebook.com/acohfarmersmarket,,,
1019351,http://www.acfarmersmarkets.org,www.facebook.com/AdamsCountyFarmersMarket,https://twitter.com/ACFarmFresh,,www.instagram.com/adamscountyfarmersmarket
1011322,http://www.acfarmersmarkets.org,"Adams County Farm Fresh Markets",,,
1010354,,https://www.facebook.com/Adams.Farmers.Market,,,
1018278,http://www.lickingcreekbendfarm.com,https://www.facebook.com,,,https://www.instagram.com/lickingcreekbendfarm/
1008961,http://www.adaptationsaloha.com,https://www.facebook.com/adaptationsaloha,https://twitter.com/MaureenDatta,,http://instagram.com/adaptationskona
1008667,http://www.piedmont-farmersmarket.com,,,,
1019203,http://AGFarmersMarket.com,http://www.facebook.com/AGFarmersMarket,http://twitter.com/AGFarmMarket,,http://www.instagram.com/agfarmersmarket
1012233,http://www.agricenter.org/farmersmarket/,https://www.facebook.com/farmersmarketmemphis/,https://twitter.com/Agricenter_Intl,https://www.youtube.com/channel/UCGksUsmHEJonFv5cwivsjZA,https://www.instagram.com/agricenterinternational/
1003562,http://www.thefarmatagritopia.com,https://www.facebook.com/TheFarmAtAgritopia,https://twitter.com/AgritopiaFarm,,https://instagram.com/agritopiafarm/
1000212,http://www.VisitAikenSC.com,,,,
1005258,http://www.honolulu.gov/parks/programs/pom,,,,
1008054,,https://www.facebook.com/pages/Airport-Farmers-and-Flea-Market/,,,
1011967,http://Www.akersofstrawberries.com,www.facebook.com/AkersofStrawberries,,,
1008612,http://www.441market.com,https://www.facebook.com/441acfmarket,,,http://pinterest.com/441market
1009019,http://www.pcfma.com,https://www.facebook.com/AlamedaFarmersMarket,,,
1018304,,https://www.facebook.com/AlamoHeightsFarmersMarket/,https://twitter.com/AlamoHeightsFM,,https://www.instagram.com/alamoheightsfm/?hl=en
1011033,https://www.localharvest.org/alamogordo-farmers-market-in-alameda-park-M37997,https://www.facebook.com/AlamogordoFarmersMarket/,,,
1004789,http://farmersmarketsnm.org/Shoppers/FindMarket/find.php,,,,http://www.localharvest.org/alamogordo-otero-county-farmers-produce-and-craft-market-alamogord-farmers-market-M2737
1004070,http://www.alamosafarmersmarket.org,https://www.facebook.com/pages/Alamosa-Farmers-Market/104375596315429?fref=ts,,,
1004425,http://www.eastbaker.net,,,,
1002175,http://www.locallygrown.org,https://www.facebook.com/Corvallis.Albany.Farmers.Markets,https://twitter.com/RebeccaCAFM,,https://www.flickr.com/photos/50026834@N04/sets/
1019371,,https://www.facebook.com/Albany-IN-Farmers-Market-405175829889200/?modal=admin_todo_tour,,,
1019389,,www.facebook.com/albemarlefarmersmarket,,,
1011108,http://albertleafarmersmarket.com,"Albert Lea Farmers Market",,,
1010559,http://greateralbionchamber.org,,,,
1010407,http://DowntownGrowers.com,https://www.facebook.com/downtowngrowers?focus_composer=true&ref_type=bookmark,,,
1004761,http://www.abqnemarket.org,https://www.facebook.com/abqnemarket?fref=ts,,,www.FarmersMarketsNM.org
1002222,http://www.alconalocalfoods.org,,,,
1008252,http://www.aldersonmarket.org,https://www.facebook.com/aldersonfood,,,
1003236,http://www.stpaulfarmersmarket.com,,,,
1011910,http://www.aledo-texas.com,"City of Aledo",,,
1000519,http://www.visitalexbay.org,https://www.facebook.com/pages/Alexandria-Bay-Chamber-of-Commerce/82504121853,,,
1018643,https://www.facebook.com/AlexandriaFarmersMarket/,"Alexandria Farmers Market",,,"@alexandriafarmersmarket (Instagram)"
1019113,,"Alexandria, MN Farmers Market",,,
1011196,https://www.alfredfarmersmarket.com,https://www.facebook.com/Alfredfarmersmarket,,,
1008835,http://www.everyonesharvest.org,https://www.facebook.com/EveryonesHarvest,,,
1005548,http://www.teenaspridecsa.com,https://www.facebook.com/teenaspridecsa,https://twitter.com/teenaspridecsa,,
1011735,http://www.hopeforsfs.org,Facebook.com/HOPESFS,,,
1010096,,https://www.facebook.com/allsaintsfarmersmarket,,,
1000268,http://www.stateplate.org,,,,
1000168,http://www.localharvest.org,,,,
1002717,,https://www.facebook.com/Allegan-Farmers-Market-146878898707147/,,,
1008262,http://www.alleghanyfarmersmarket.com,https://www.facebook.com/pages/Alleghany-Farmers-Market/102331033194610,,,
1018160,http://thriveallencounty.org/farmers-market/,https://www.facebook.com/Allen-County-Farmers-Market-140163699399288/,@RchallieRobin,,"Instagram - schallierobin"
1018165,http://thriveallencounty.org/farmers-market/,https://www.facebook.com/Allen-County-Farmers-Market-140163699399288/,@RchallieRobin,,"Instagram - schallierobin"
1018105,http://thriveallencounty.org/farmers-market/,https://www.facebook.com/Allen-County-Farmers-Market-140163699399288/,@RchallieRobin,,"Instagram - schallierobin"
1011777,http://allenneighborhoodcenter.org/food/market/,https://www.facebook.com/AllenFarmersMarket/,,,
1007716,http://www.fairgroundsfarmersmkt.com,,,,
1005675,http://www.alliancefarmersmarket.com,https://www.facebook.com/alliancefarmersmarket,,,
1006739,http://www.artinlee.org,https://www.facebook.com/pages/Alliance-for-the-Arts-GreenMarket/224616377554765,,,
1002683,http://www.dining.harvard.edu/flp/ag_market.html,,,,
1005134,http://www.allstonbrightoncdc.org/,https://www.facebook.com/AllstonVillageFarmersMarket,https://twitter.com/AVFarmersMarket,,
1007836,http://www.almontfarmersmarket.com,,,,
1012389,http://www.alohacommunityfarmersmarket.org,https://www.facebook.com/Aloha-Community-Farmers-Market-913645008655691/,@AlohaFarmMarket,,"Instagram: Aloha Community Farmers' Market"
1010476,http://alpenafarmersmarket.org,"Friends of the Alpena Farmers Market",,,
1005447,http://www.alpha-nursery.com,,,,
1009792,http://www.alsipparks.org,,,,
1009998,http://www.altadenafarmersmarket.com,https://www.facebook.com/AltadenaFarmersMarket,https://twitter.com/AltadenaFM,,http://altadenafm.tumblr.com
1000357,http://www.ci.altavista.va.us,,,,
1006749,http://www.DowntownAlton.com,https://www.facebook.com/AltonFarmersMarket,,,
1011421,http://www.pcfma.org,www.facebook.com/AlumRockVillageFarmersMarket,www.twitter.com/PacCoastFarmers,,
1005644,http://www.amadorfarmersmarket.com,,,,
1005645,http://www.amadorfarmersmarket.com,,,,
1005646,http://www.amadorfarmersmarket.com,,,,
1008321,http://www.Ameliamarket.org,https://www.facebook.com/AmeliaBarterTown,,,
1008399,http://www.ameliafarmersmarket.com,https://www.facebook.com/AmeliaFarmersMarket,,,
1005946,http://www.cityofderidder.org,,,,
1011171,http://www.amesmainsteetfarmersmarket.com,"Ames Main Street Farmers' Market",,,
1000284,http://www.AmherstFarmersMarket.com,https://www.facebook.com/pages/Amherst-Farmers-Market/112695142075630,,,
1006748,http://www.kendrickparkmarket.com,https://www.facebook.com/pages/Wednesday-Market-at-Kendrick-Park/210000299034343,,,
1009833,http://www.amherstwintermarket.com,https://www.facebook.com/pages/Amherst-Winter-Farmers-Market/107328206002708,,,
1003563,,https://www.facebook.com/amicalolafarmersmarket/,,,
1018789,,https://www.facebook.com/amicalolafarmersmarket,,,
1019438,https://amquistation.org/farmers-market/,,,,
1016853,http://www.fmfma.org,"Amsterdam Saturday Farmers Market",@BenWallach1,,
1012157,http://www.anacondacommunityfoundation.org/anaconda-community-market.html,https://www.facebook.com/groups/478915098830452/,,,
1005944,http://www.anacortesfarmersmarket.org,https://www.facebook.com/AnacortesFarmersMarket,,,
1001105,,https://www.facebook.com/AnamooseMarketInThePark,,,
1007258,http://www.anchoragefarmersmarket.org,,,,
1002640,http://www.anchoragemarkets.com,,,,
1018744,http://www.ppchog.org/acm,,,,
1008251,http://andersoncountysc.org/web/Farmers_00.asp,https://www.facebook.com/andersoncountyfarmersmarket,,,
1008727,,https://www.facebook.com/AndersonCoFarmersMarket,,,
1004991,http://www.andersonfarmersmarket.org,,,,
1003516,http://www.andersonville.org,https://www.facebook.com/andersonville?ref=bookmarks,,,
1018698,http://andoverhistorical.org/farmer-s-market-2017,https://www.facebook.com/andoverfarmersmarket/,,,https://www.instagram.com/andoverhistoricalsociety/?hl=en
1000287,http://www.andrewsfarmersmarket.com,,,,
1006378,http://www.localharvest.org/angelica-farmers-market-M23451,https://www.facebook.com/AngelicaFarmersMarket,,,
1010280,http://visitlufkin.com/ShopDine/FarmersMarket/,https://www.facebook.com/angelinacountyfarmmarket/settings?tab=public&section=web_address,,,
1006268,http://www.angelscampbusiness.com/events/fresh-fridays/,,,,
1010223,http://www.a2gov.org/market,https://www.facebook.com/a2market,https://twitter.com/a2market,,
1010380,http://www.childcarenassau.org,www.facebook.com/longislandfarmtopreschool,,,
1019484,https://www.fairfaxcounty.gov/parks/farmersmarkets/annandale,https://www.facebook.com/events/557660981411692/,,,@fairfaxfarmmarkets
1019096,,"Annandale Farmers Market",,,
1001142,http://www.aacofarmersmarket.com/,"Anne Arundel County Farmers Market, INC",,,
1000306,,https://www.facebook.com/anselmamarket,,,
1011248,http://www.avwinery.com,,,,
1012651,http://www.arizonacommunityfarmersmarkets.com/FM_Anthem.html,ww.facebook.com/Anthem-Farmers-Market-608872579141231/,Anthemfm1,,
1018934,http://www.antigomarket.com,"Antigo Farmers Market, Inc",,,
1019350,https://www.antioch.il.gov/?s=Farmers+Market,https://www.facebook.com/VillageOfAntioch/,,,
1011109,http://www.apexfarmersmarket.com,https://www.facebook.com/apexfarmersmarket,,,
1011158,,"Newport Farmers Market or Appalachian Farmers Market",,,
1005207,http://www.appfarmersmarket.com,,,,
1000683,http://www.applecountryorchards.com,,,,
1000685,http://www.applecountryorchards.com,,,,
1000431,http://www.appletondowntown.org,www.facebook.com/downtownappletonfarmmarket,,,
1009687,http://www.montereybayfarmers.org,https://www.facebook.com/pages/Monterey-Bay-Certified-Farmers-Markets/112446802152723,https://twitter.com/MBFarmersMarket,,www.edibleparadise.com
1001738,http://www.aquidneckgrowersmarket.org,https://www.facebook.com/pages/Aquidneck-Growers-Market/145175198849594?ref=hl,,,
1010986,http://www.aquidneckgrowersmarket.org,https://www.facebook.com/pages/Aquidneck-Growers-Market/145175198849594?ref=hl,,,
1008482,http://arbucklerevitalization.org/farmersmarket.html,,,,
1012474,http://arcadiafood.org/programs/mobile-market,,,https://www.youtube.com/user/ArcadiaFoodTV,
1012410,http://arcadiafood.org/programs/mobile-market,,,https://www.youtube.com/user/ArcadiaFoodTV,
1012375,http://arcadiafood.org/programs/mobile-market,,,https://www.youtube.com/user/ArcadiaFoodTV,
1012453,http://arcadiafood.org/programs/mobile-market,,,https://www.youtube.com/user/ArcadiaFoodTV,
1012422,http://arcadiafood.org/programs/mobile-market,,,https://www.youtube.com/user/ArcadiaFoodTV,
1012455,http://arcadiafood.org/programs/mobile-market,,,https://www.youtube.com/user/ArcadiaFoodTV,
1012477,http://arcadiafood.org/programs/mobile-market,,,https://www.youtube.com/user/ArcadiaFoodTV,
1012413,http://arcadiafood.org/programs/mobile-market,,,https://www.youtube.com/user/ArcadiaFoodTV,
1012419,http://arcadiafood.org/programs/mobile-market,,,https://www.youtube.com/user/ArcadiaFoodTV,
1012454,http://arcadiafood.org/programs/mobile-market,,,https://www.youtube.com/user/ArcadiaFoodTV,
1012374,http://arcadiafood.org/programs/mobile-market,,,https://www.youtube.com/user/ArcadiaFoodTV,
1012427,http://arcadiafood.org/programs/mobile-market,,,https://www.youtube.com/user/ArcadiaFoodTV,
1012377,http://arcadiafood.org/programs/mobile-market,,,https://www.youtube.com/user/ArcadiaFoodTV,
1002085,http://www.humfarm.org,https://www.facebook.com/North.Coast.Growers.Association,,,
1018326,,www.facebook.com/ArchwoodGreenBarnsFarmersMarket,,,
1007662,http://www.brazosvalleyfarmersmarket.com,,,,
1002798,http://www.arenacconservationdistrict.com,,,,
1019187,http://www.argusfarmstop.com,https://www.facebook.com/argusfarmstop/,https://twitter.com/ArgusFarmStop,,https://www.instagram.com/argusfarmstop/?hl=en
1002314,http://www.arkcity.org/CurrentEvents.asp?EID=1457,,,,
1001018,http://www.littlerock.locallygrown.net,,,,
1017963,,https://www.facebook.com/ArlingtonFarmandArtMarket/,,,
1009968,http://farmersmarketarlington.org,,,,
1018561,http://www.afmwa.org,www.facebook.com/afmwa,,,
1008236,http://www.arlingtonhasit.org,,,,
1018253,http://www.community-foodworks.org/arlington-courthouse-market,https://www.facebook.com/ARLFoodworks/,https://twitter.com/ARLFoodworks,,https://www.instagram.com/arlfoodworks/?hl=en
1010945,http://www.columbiapike.org,www.facebook.com/pages/Columbia-Pike-Farmers-Marke,,,
1011958,,https://www.facebook.com/friendsofarlingtonpark/?fref=ts,,,https://www.instagram.com/p/6aOvP7BLEo/
1019466,https://www.farmfreshri.org/,https://www.facebook.com/farmfreshri/,https://twitter.com/FarmFreshRI?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,
1019222,https://www.arnoldmo.org/government/departments/parks-recreation/arnold-farmers-market/,https://www.facebook.com/arnoldfarmersmarket/?ref=settings,ArnoldFarmMarket,,
1008855,http://www.MacombConservationDistrict.org,https://www.facebook.com/macombcd,https://twitter.com/macombcd1,,
1010575,http://www.artisanexchangewcpa.com,http://www.facebook.com/ArtisanExchangeWCPa,,,
1008534,http://www.artisanfoodworks.com/,http://www.facebook.com/ArtisanFoodworksMKT,https://twitter.com/AFoodworksMKT,,
1005081,http://www.arvadafarmersmarket.com,https://www.facebook.com/arvadafarmersmarket,,,
1009285,http://www.arvadafiveparksfarmersmarket.blogspot.com/,https://www.facebook.com/pages/Arvada-Five-Parks-Farmers-Market/469569033116556,,,
1009272,http://www.asburyfresh.com/,,,,
1002490,http://www.cityofchicago.org/specialevents,,,,
1016829,http://Www.AshburnhamFarmersMarket.com,"Ashburnham Farmers' Market",,,
1003219,http://www.ashefarmersmarket.com,https://www.facebook.com/ashe.farmers?fref=ts,,,
1008904,http://asapconnections.org/citymarket,https://www.facebook.com/AshevilleCityMarket,https://twitter.com/avlcitymarket,,
1008905,http://asapconnections.org/citymarket,https://www.facebook.com/AshevilleCityMarket,https://twitter.com/avlcitymarket,,
1000887,http://www.ashfieldfarmersmarket.com,,,,
1005158,http://www.ashlandareafarmersmarket.com/,,,,
1008897,http://www.facebook.com/ashlandfarmersmarket,https://www.facebook.com/ashlandfarmersmarket,https://twitter.com/ashlandvafm,,
1009810,http://www.ashlandfarmersmarket.org/,https://www.facebook.com/AshlandMAFarmersMarket,,,
1000465,http://www.ashlandumc.com/gallery/seeds/seeds.htm,,,,
1000836,http://www.avfarmersmarket.com,,,,
1018712,,facebook.com/AshmontFarmMkt,twitter.com/AshmontFarmMkt,,instagram.com/greaterashmont/
1004530,http://www.gardenshelper.blogspot.com,,,,
1009244,,https://www.facebook.com/AshtabulaFarmersMarket,,,
1004692,http://www.denverfarmersmarket.com,https://www.facebook.com/denverfarmersmarket,,,
1000086,http://www.grownyc.org,https://www.facebook.com/QueensGreenmarkets,,,
1003661,http://www.AstoriaSundayMarket.com,,,,
1001245,http://www.asuregionalfarmersmarket.org,https://www.facebook.com/asuregionalfarmersmarket,https://twitter.com/asufarmersmarket,,
1009516,http://www.ataclincolncounty.org,https://www.facebook.com/pages/Capitan-Farmers-Market/160832100703579,,,
1009447,http://www.northcountyfarmersmarkets.com/,https://www.facebook.com/NorthCountyFarmersMarkets,,,
1002984,https://atchisonkansas.com/business-directory/atchison-farmers-market,https://www.facebook.com/AtchisonFarmersMarket/,,,
1005086,http://www.athensfarmersmarket.org,https://www.facebook.com/pages/Athens-Farmers-Market,,,
1010034,http://cityofathenstn.com/parks,,,,
1008974,http://www.athensfarmersmarket.net,https://www.facebook.com/AthensFarmersMarket,"https://twitter.com/AthFarmersMkt ",,"INSTAGRAM: athensfarmersmarket "
1018033,http://www.athensfarmersmarket.net/,https://www.facebook.com/AthensFarmersMarket,https://twitter.com/AthFarmersMkt,,https://www.instagram.com/athensfarmersmarket/
1018032,http://www.athensfarmersmarket.net/,https://www.facebook.com/AthensFarmersMarket,https://twitter.com/AthFarmersMkt,,https://www.instagram.com/athensfarmersmarket/
1000297,http://www.athens.locallygrown.net,,,,
1011861,http://www.athenssaturdaymarket.com,athenssaturdaymarket,@AthensMarket,,"Twitter, Instagram"
1002987,http://www.athertonmillandmarket.com,https://www.facebook.com/athertonmillandmarket,athertonmillmkt,,"Instagram @athertonmillmkt"
1000750,http://www.townofathol.org,,,,
1000708,http://www.acsid.com,,,,
1006303,http://www.AtlanticHighlands.org,"Atlantic Highlands Farmers Market",,,
1001503,,https://www.facebook.com/pages/Attala-County-Farmers-Market/244536342327690,,,
1002860,,https://www.facebook.com/pages/City-of-Attalla/123797897678490,,,
1018330,http://www.attleborofarmersmarket.com,AttleboroFarmersMarket@AttFrmMkt,,,
1010003,http://www.seela.org/atwater-village-farmers-market/,https://www.facebook.com/pages/Atwater-Village-Farmers-Market/336210064056,https://twitter.com/AtwaterFM,,www.instagram.com/atwatervillagefm
1000655,http://www.foothillfarmersmarket.com,,,,
1006311,http://www.cityofauburn-ga.org/,,,,
1002377,http://www.Auburnfarmerscoopmarketinc.com,https://www.facebook.com/AuburnFarmersCoOpMarketInc,https://twitter.com/AuburnMarket,,
1003772,http://www.auburnpres.org,,,,
1019347,http://www.auburnfarmersmarket.org,https://www.facebook.com/AuburnInternationalFarmersMarket/?ref=bookmarks,https://twitter.com/AifmAuburnWA,,
1018270,http://Auburnfarmersmarket@auburnmaine.gov,"Auburn farmers market",,,
1006410,http://www.auburnhills.org/farmersmarket,,,,
1000736,http://www.foothillfarmersmarket.com,,,,
1003923,"http://www.audubonneighborhood.org/content/audubon-farmersâ€™-market",,,,
1008999,http://audubonmarket.com/,https://www.facebook.com/apmarket,https://twitter.com/apmarket,,
1003866,http://www.iatp.org/minimarkets,,,,
1004300,http://www.augustamaine.gov/index.asp?Type=B_BASIC&SEC={FFE91C07-6389-4065-B49A-6EEF08D7D3B5}&DE=,,,,
1000870,http://WWW.AGR.GEORGIA.GOV,,,,
1000559,,"Aurora Local Farmers Market",,,
1005604,,"Aurora Local Farmers Market",,,
1010694,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=1663,,,,
1011929,http://www.aurorasfarmersmarket@aurora-il.org,https://www.facebook.com/Friends.AFM.Aurora.IL/,,,
1011927,,https://www.facebook.com/Friends.AFM.Aurora.IL/,,,
1011928,http://ww.aurorasfarmersmarket.com,https://www.facebook.com/Friends.AFM.Aurora.IL/,,,
1001695,,https://www.facebook.com/pages/Ausable-Valley-Farmers-Market/124928937581337,,,
1002491,http://www.cityofchicago.org/specialevents,,,,
1012430,http://www.eatfreshaustin.com,https://www.facebook.com/austinfarmersmarket/,https://twitter.com/EatFreshAustin,,
1011490,http://www.facebook.com/austintownfarmersmarket,"Austintown Farmers Market",AustintownFM,,"Instagram:  AustintownFM"
1011826,"http://www.ajocsa.com (under construction)","Authentically Ajo Farmers Market",,,
1010695,http://www.usdalocalfooddirectories.com/farmersmarketdirectoryupdate/FM_BasicInfo.aspx?source=en&did=Wr9I0nOZZPBL7IAEse8z5w%3d%3d&cid=TaSF3iA3jK80vXTmtxIL3A==,,,,
1003539,http://www.rhemrketcompany.org,,,,
1019396,http://www.avongov.org/category/subcategory.php?categoryid=28,http://facebook.com/avonfarmersmarket,,,
1011092,http://avonlakefarmersmarket.org,https://www.facebook.com/pages/Avon-Lake-Farmers-Market/1402286433426690?ref=tn_tnmn,,,
1019126,,https://www.facebook.com/avonfreepubliclibrary/,,,"@afplct (instagram)"
1000898,http://www.avonfarmersmarket.org,,,,
1003520,http://www.dreamingoutloud.org/programs/ayamarkets/,,,,
1010696,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=2057,,,,
1010697,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=273,,,,
1000029,http://www.bagleyareafarmersmarkeet.com,,,,
1019044,,bainbridgefarmmarket,,,
1010608,http://www.thebainbridgefarmersmarket.com/,https://www.facebook.com/bainbridgemkt?fref=ts,https://twitter.com/@bainbridgemkt,,https://www.instagram.com/bainbridgefarmersmarket/
1004633,http://www.bainbridgefarmersmarket.org,https://www.facebook.com/BIFarmersMkt,https://twitter.com/BIfarmersmkt,,
1003411,,https://www.facebook.com/pages/Baker-City-Farmers-Market/106757499355968?ref=hl,,,
1009475,,https://www.facebook.com/BaldwinFarmersMarket,,,
1009163,http://www.baldwinlakenews.com/,,,,
1003720,http://www.farmernet.com,,,,
1019076,https://www.villageofbaldwin.com/community/page/main-st-farmers-market,https://www.facebook.com/BaldwinsMainStFarmersMarket/,,,
1011333,http://sfmamarkets.com,"Ballard Farmers Market",@BallardFMKT,,"Seattle_Farmers_Markets  Instagram"
1003662,http://www.ballston.org,,,,
1006519,http://www.baltimorecountyfarmersmarket.com,,,,
1000790,http://www.promotionandarts.org,,,,
1010688,http://www.banderafarmersmarket.org/,https://www.facebook.com/pages/Bandera-Farmers-Market/229035860539228,,,
1008053,,https://www.facebook.com/BangorFarmMarket,,,
1012081,http://www.bangorfarmersmarket.org,www.facebook.com/bangorfarmersmarket,,,
1012134,,facebook.com/banningmarketnight,,,
1010152,http://www.mdifarmersmarkets.com,https://www.facebook.com/BarHarborEdenFarmersMarket,,,
1002881,http://www.farmswapmarket.com,,,,
1004549,http://www.heartandhandhouse.org,https://www.facebook.com/bccgardenmarket,,,
1008918,http://www.grownyc.org,https://www.facebook.com/BrooklynGreenmarkets,,,
1007268,http://www.ces.ca.uky.edu/nelson/bardstownfarmersmarket,https://www.facebook.com/pages/Bardstown-Road-Farmers-Market/103858952056,,,
1008466,http://www.barnhamcattleco.com,https://www.facebook.com/pages/Barham-Cattle-Company-Family-Farm/253576221378846,,,
1003082,http://www.VillageofBarker@roadrunner.com,,,,
1018168,,"Barker's Island Farmers' Market",,,
1001604,http://www.barnegat.net,,,,
1002354,http://barrefarmersmarket.org,https://www.facebook.com/BarreFarmersMarket,,,
1018517,,https://www.facebook.com/BarreVTFarmersMarket/,,,
1003976,http://www.rebelhome.net/ccrfm.html,,,,
1002269,http://www.barringtonfarmersmarket.org,,,,
1003550,http://www.themarketcompany.org,,,,
1012205,http://www.barryvillefarmersmarket.com/,https://www.facebook.com/barryvillefarmersmarket,,,
1006001,http://www.grownyc.org/greenmarket,,,,
1002564,http://www.hotmarket.org,,,,
1006441,http://www.village.bartlett.il.us,,,,
