FMID,season,seasonOpenning,seasonClosing,seasonTime
1002140,"June - October","June ",October,"Sun: 9:00 AM-2:00 PM;"
1000520,"May - September","May "," September","Sat: 9:00 AM-12:00 PM;"
1009715,"January - December","January "," December","Wed: 9:00 AM-2:30 PM;"
1009714,"January - ","January "," ","Thu: 2:00 PM-7:30 PM;"
1002405,"November - December","November "," December","Sat: 9:00 AM-12:00 PM;"
1003343,"July - November","July ",November,"Tue: 8:00 AM-3:00 PM;"
1001700,"May - October","May ",October,"Tue: 3:30 PM-6:00 PM;Sat: 9:00 AM-12:00 PM;"
1011114,"May - October","May ",October,"Thu: 7:00 AM-1:00 PM;"
1007426,"May - October","May ",October,"Sat: 8:00 AM-1:00 PM;"
1005521,"January - December","January "," December","Fri: 2:00 PM-6:00 PM;"
1019506,"April - November","April ",November,"Wed: 8:00 AM-5:00 PM;Sat: 8:00 AM-3:00 PM;"
1001948,"May - October","May ",October,"Mon: 4:00 PM-7:30 PM;"
1006058,"June - September","June "," September","Sat: 8:00 AM-12:00 PM;"
1002135,"September - September","September "," September","Thu: 3:00 PM-6:00 PM;"
1019409,"June - August","June "," August","Sat: 7:00 AM-12:00 PM;"
1008768,"April - September","April "," September","Tue: 4:30 PM-7:00 PM;"
1008770,"May - August","May "," August","Wed: 4:30 PM-7:00 PM;"
1016830,"April - September","April "," September","Thu: 4:30 PM-7:00 PM;"
1010416,"October - November","October ",November,"Wed: 3:00 PM-6:00 PM;"
1006156,"May - September","May "," September","Thu:3:30 pm - 7:00 pm;"
1004526,"May - October","May ",October,"Thu:3:30 PM - 7:30 PM;"
1004234,"January - December","January "," December","Sat:8:00 AM - 5:00 PM;sun:8:00 AM - 5:00 PM;"
1001177,"January - December","January "," December","Sat:8:00 am - 12:00 am;"
1010305,"January - December","January "," December","Sat: 8:00 AM-12:00 PM;"
1009633,"January - December","January "," December","Sat: 8:00 AM-12:00 PM;"
1005601,"January - December","January "," December","Fri: 9:00 AM-1:00 PM;"
1003419,"January - December","January "," December","Sun: 8:00 AM-12:00 PM;"
1019103,"June - September","June "," September","Tue: 3:00 PM-7:00 PM;"
1008295,"May - December","May "," December","Thu: 1:00 PM-6:00 PM;"
1004167,"June - September","June "," September","Thu: 3:00 PM-7:00 PM;"
1011271,"January - December","January "," December","Thu: 8:00 AM-12:00 PM;"
1004928,"January - December","January "," December","Sat: 9:00 AM-1:00 PM;"
1012202,"May - October","May ",October,"Sun: 10:00 AM-3:00 PM;"
1006660,"January - December","January "," December","Sat:9:00 AM - 1:30 PM;"
1008131,"June - September","June "," September","Wed: 3:00 PM-6:00 PM;"
1005858,"May - October","May ",October,"Wed:2:00 PM - 7:00 PM;"
1012785,"June - September","June "," September","Tue: 4:00 PM-6:30 PM;"
1004182,"June - October","June ",October,"Wed: 2:00 PM-7:00 PM;"
1003863,"May - October","May ",October,"Sat: 8:30 AM-1:30 PM;"
1001696,"November - December","November "," December","Sat:10:00 AM - 2:00 PM;"
1012206,"June - October","June ",October,"Wed: 2:00 PM-6:00 PM;"
1010519,"January - December","January "," December","Sat: 9:00 AM-1:00 PM;"
1006106,"June - October","June ",October,"Wed: 7:30 AM-12:00 PM;Sat: 7:30 AM-12:00 PM;"
1001229,"May - November","May ",November,"Tue: 10:00 AM-1:00 PM;Sat: 10:00 AM-2:00 PM;"
1010516,"October - April","October "," April","Fri: 9:00 AM-1:00 PM;"
1003797,"May - October","May ",October,"Sat:8:00 am - 12:00 pm;"
1008508,"January - December","January "," December","Sat: 9:00 AM-1:00 PM;"
1019198,"January - December","January "," December","Sat: 9:00 AM-12:00 PM;"
1002021,"January - December","January "," December","Wed: 9:00 AM-2:00 PM;Sat: 8:00 AM-12:00 PM;"
1012340,"January - December","January "," December","Sat: 8:00 AM-12:30 PM;"
1002521,"June - October","June ",October,"Thu: 5:30 PM-8:00 PM;"
1009947,"June - October","June ",October,"Sat: 10:00 AM-1:00 PM;"
1011107,"June - September","June "," September","Sat: 10:00 AM-2:00 PM;"
1019427,"July - September","July "," September","Thu: 10:00 AM-2:00 PM;"
1019035,"June - September","June "," September","Sat: 9:00 AM-12:00 PM;"
1006369,"June - October","June ",October,"Mon: 4:00 PM-6:00 PM;Thu: 4:00 PM-6:00 PM;"
1002181,"June - August","June "," August","Wed:4:00 PM - 7:00 PM;"
1018491,"May - October","May ",October,"Tue: 3:00 PM-6:00 PM;"
1012734,"January - December","January "," December","Tue: 6:00 AM-4:00 PM;Fri: 6:00 AM-4:00 PM;Sat: 6:00 AM-2:00 PM;"
1016889,"June - October","June ",October,"Sun: 10:00 AM-2:00 PM;"
1002279,"July - September","July "," September","Thu:3:00 pm - 6:00 pm;"
1004639,"May - October","May ",October,"Sat:9:00 AM - 12:00 PM;"
1002513,"May - October","May ",October,"Sun: 9:00 AM-2:00 PM;"
1000111,"July - October","July ",October,"Tue: 5:00 PM-6:30 PM;"
1000112,"July - October","July ",October,"Sat: 9:00 AM-11:00 AM;"
1006698,"January - December","January "," December","Thu: 9:00 AM-6:00 PM;Fri: 9:00 AM-7:00 PM;Sat: 8:00 AM-4:00 PM;"
1011058,"June - September","June "," September","Sat: 10:00 AM-2:00 PM;"
1019352,"February - December","February "," December","Sun: 9:00 AM-12:00 PM;"
1005352,"November - December","November "," December","Sat: 10:00 AM-5:00 PM;Sun: 10:00 AM-5:00 PM;"
1009803,"April - October","April ",October,"Tue: 10:00 AM-3:00 PM;Sat: 9:00 AM-3:00 PM;"
1006399,"May - October","May ",October,"Sat: 9:00 AM-12:00 PM;"
1012705,"May - November","May ",November,"Sat: 9:00 AM-1:00 PM;"
1018288,"May - October","May ",October,"Sat: 9:00 AM-1:00 PM;"
1002941,"June - October","June ",October,"Fri: 3:00 PM-7:00 PM;"
1004736,"July - December","July "," December","Tue:10:00 AM - 6:00 PM;Wed:10:00 AM - 6:00 PM;Thu:10:00 AM - 6:00 PM;Fri:10:00 AM - 6:00 PM;Sat:9:00 AM - 5:00 PM;sun:12:00 PM - 4:00 PM;"
1002980,"June - October","June ",October,"Sat:9:00 AM - 12:30 PM;"
1000307,"September - September","September "," September","Thu: 3:00 PM-6:00 PM;"
1010954,"April - December","April "," December","Sat: 8:30 AM-1:00 PM;"
1000133,"May - ","May "," ","Sat: 9:00 AM-1:00 PM;"
1008371,"January - December","January "," December","Sun: 9:00 AM-3:00 PM;"
1016918,"November - March","November "," March","Wed: 2:00 AM-6:00 PM;"
1001400,"January - December","January "," December","Thu: 4:00 PM-8:00 PM;"
1017912,"November - ","November "," ","Thu: 2:00 PM-6:00 PM;"
1017911,"January - December","January "," December","Mon: 10:00 AM-2:00 PM;"
1004784,"May - November","May ",November,"Wed: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1010899,"June - September","June "," September","Sat: 8:00 AM-12:00 PM;"
1012344,"May - September","May "," September","Tue: 3:00 PM-6:00 PM;"
1009057,"June - October","June ",October,"Wed: 2:00 PM-7:00 PM;"
1012367,"July - September","July "," September","Wed: 4:00 PM-6:30 PM;"
1019030,"May - July","May "," July","Thu: 5:00 PM-8:00 PM;"
1002301,"January - December","January "," December","Wed: 7:00 AM-11:00 AM;Sat: 7:00 AM-11:00 AM;"
1001023,"January - November","January ",November,"Wed: 2:00 PM-7:00 PM;"
1003291,"July - October","July ",October,"Tue:9:00 am - 12:00 pm;Thu:9:00 am - 12:00 pm;Sat:9:00 am - 12:00 pm;"
1005181,April,"April ",,"Tue: 6:00 AM-1:00 PM;Thu: 1:00 PM-7:00 PM;Sat: 6:00 AM-1:00 PM;"
1018834,"July - October","July ",October,"Sun: 9:00 AM-1:00 PM;"
1002530,"July - ","July "," ","Wed: 10:00 AM-5:30 PM;"
1009941,"July - October","July ",October,"Sat: 9:00 AM-3:00 PM;"
1009942,"July - October","July ",October,"Fri: 11:00 AM-5:00 PM;"
1012750,"September - November","September ",November,"Sat: 8:00 AM-12:00 PM;"
1012751,"May - October","May ",October,"Tue: 4:00 PM-6:00 PM;"
1010221,"June - September","June "," September","Sun: 8:00 AM-12:00 PM;"
1012108,"July - September","July "," September","Fri: 3:00 PM-6:00 PM;"
1019450,"June - October","June ",October,"Tue: 4:00 PM-7:00 PM;"
1010513,"April - November","April ",November,"Wed: 7:30 AM-1:00 PM;Sat: 7:30 AM-1:00 PM;"
1003899,"January - December","January "," December","Mon: 2:30 PM-5:00 PM;"
1008866,"June - October","June ",October,"Sat: 9:00 AM-12:30 PM;"
1018638,"May - December","May "," December","Mon: 10:00 AM-11:00 PM;Tue: 12:00 AM-8:00 PM;"
1008912,"July - November","July ",November,"Wed: 10:00 AM-3:00 PM;"
1000780,"May - October","May ",October,"Wed: 3:00 PM-6:00 PM;Sat: 7:00 AM-12:00 PM;"
1016810,"May - October","May ",October,"Fri: 4:00 PM-7:00 PM;"
1008786,"May - October","May ",October,"Thu: 2:00 PM-6:00 PM;"
1018113,"June - October","June ",October,"Sat: 9:00 AM-12:00 PM;"
1011318,"April - October","April ",October,"Wed: 2:00 PM-6:00 PM;Sat: 8:00 AM-1:00 PM;"
1012603,"May - September","May "," September","Thu: 4:00 PM-7:00 PM;"
1008751,"May - October","May ",October,"Wed: 9:00 AM-2:00 PM;Sat: 9:00 AM-2:00 PM;"
1000702,"May - October","May ",October,"sun:10:00 AM - 2:00 PM;"
1018796,"June - October","June ",October,"Wed: 4:00 PM-7:00 PM;"
1011359,"May - ","May "," ","Thu: 3:00 PM-6:00 PM;"
1006722,"June - August","June "," August","Fri:3:00 PM - 6:00 PM;"
1006711,"January - December","January "," December","Sat:8:00 AM - 1:00 PM;"
1019158,"January - December","January "," December","Sat: 10:00 AM-3:00 PM;Sun: 10:00 AM-3:00 PM;"
1006652,"January - December","January "," December","Sat: 9:00 AM-2:00 PM;"
1001921,"June - October","June ",October,"Sat: 9:00 AM-2:00 PM;"
1002768,"June - August","June "," August","Thu: 9:00 AM-1:00 PM;"
1012637,"June - September","June "," September","Sat: 9:00 AM-1:00 PM;"
1004919,"May - October","May ",October,"Wed: 2:00 PM-6:00 PM;"
1005345,"May - October","May ",October,"Sat: 8:00 AM-11:00 AM;"
1019512,"April - October","April ",October,"Tue: 9:00 AM-1:00 PM;Sat: 8:00 AM-12:00 PM;"
1002471,"June - August","June "," August","Tue: 7:00 AM-1:00 PM;Thu: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1010483,"January - December","January "," December","Tue: 8:00 AM-2:00 PM;Sat: 8:00 AM-2:00 PM;"
1008937,"January - December","January "," December","Wed: 10:00 AM-6:00 PM;Thu: 10:00 AM-6:00 PM;Fri: 10:00 AM-6:00 PM;Sat: 10:00 AM-4:00 PM;"
1018704,"June - September","June "," September","Fri: 12:30 PM-4:30 PM;"
1002884,"July - October","July ",October,"Sat: 9:00 AM-2:00 PM;"
1012646,"October - December","October "," December","Sat: 10:00 AM-2:00 PM;Sun: 10:00 AM-2:00 PM;"
1016916,"November - April","November "," April","Fri: 3:30 AM-6:30 PM;"
1012612,"April - September","April "," September","Fri: 10:00 AM-3:30 PM;"
1008726,"July - November","July ",November,"Tue: 8:00 AM-;Thu: 8:00 AM-;Sat: 8:00 AM-;"
1004651,"June - September","June "," September","Thu: 11:00 AM-3:00 PM;"
1004270,"April - October","April ",October,"Sat: 8:30 AM-1:00 PM;"
1019503,"June - September","June "," September","Wed: 5:00 PM-8:00 PM;"
1011527,"June - September","June "," September","Sat: 5:00 PM-8:00 PM;"
1006300,"June - October","June ",October,"Tue:2:00 pm - 4:30 pm;"
1006299,"June - October","June ",October,"sun:10:30 am - 2:00 pm;"
1012553,"June - October","June ",October,"Sat: 8:00 AM-3:00 PM;"
1008320,"April - November","April ",November,"Wed: 8:00 AM-12:30 PM;"
1008273,"May - October","May ",October,"Sat: 10:00 AM-12:00 PM;"
1009767,"June - October","June ",October,"Wed: 3:00 PM-7:00 PM;"
1019537,"May - October","May ",October,"Tue: 2:00 PM-6:30 PM;"
1019346,"January - April","January "," April","Sat: 11:00 AM-2:00 PM;"
1012287,"May - October","May ",October,"Thu: 12:00 PM-5:00 PM;"
1007418,"July - September","July "," September","Sat: 7:00 AM-11:00 AM;"
1007326,"November - December","November "," December","Thu:TBD - TBD;Fri:TBD - TBD;Sat:TBD - TBD;"
1002972,"June - September","June "," September","Thu:5:00 PM - 7:00 PM;"
1002971,"June - September","June "," September","Thu:5:00 PM - 7:00 PM;"
1002458,"May - September","May "," September","Sat:9:00 AM - 1:00 PM;"
1010967,"June - November","June ",November,"Thu: 3:00 PM-7:00 PM;"
1008610,"May - October","May ",October,"Wed: 7:00 AM-12:00 PM;"
1006841,"January - December","January "," December","Sat:11:00 am - 5:00 pm;"
1018927,"May - September","May "," September","Sat: 8:00 AM-12:00 PM;"
1003895,"June - August","June "," August","Fri: 4:00 PM-8:00 PM;"
1008397,"January - December","January "," December","Sun: 9:00 AM-3:00 PM;"
1008396,"November - March","November "," March","Sat: 10:00 AM-2:00 PM;"
1005411,"June - October","June ",October,"Tue: 8:00 AM-1:00 PM;Fri: 1:00 PM-;Sat: 1:00 PM-;"
1010995,"April - November","April ",November,"Thu: 7:00 AM-12:00 PM;"
1010993,"January - March","January "," March","Sat: 9:00 AM-12:00 PM;"
1010992,"April - December","April "," December","Tue: 7:00 AM-12:00 PM;Sat: 7:00 AM-12:00 PM;"
1004847,"May - September","May "," September","Sat: 10:00 AM-11:30 AM;"
1004848,"April - November","April ",November,"Thu: 4:00 PM-5:30 PM;"
1003378,"May - October","May ",October,"Sat: 8:00 AM-12:00 PM;"
1011300,"January - December","January "," December","Wed: 3:00 PM-7:00 PM;"
1016826,"May - October","May ",October,"Wed: 7:00 AM-11:00 AM;"
1001048,"May - November","May ",November,"Wed: 8:00 AM-12:00 PM;"
1000096,"June - November","June ",November,"Tue: 8:00 AM-3:00 PM;Fri: 8:00 AM-3:00 PM;"
1011062,"June - October","June ",October,"Thu: 4:00 PM-7:00 PM;"
1019304,"June - October","June ",October,"Sun: 11:00 AM-4:00 PM;"
1003553,"January - December","January "," December","sun:9:00 AM - 6:30 PM;"
1011688,"November - March","November "," March","Sat: 9:00 AM-10:00 AM;"
1010162,"January - December","January "," December","Thu: 2:00 PM-7:00 PM;"
1019167,"May - September","May "," September","Sat: 9:00 AM-1:00 PM;"
1009791,"January - December","January "," December","Sat: 8:30 AM-11:00 AM;"
1006322,"July - September","July "," September","Mon:3:30 pm - 6:00 pm;Thu:3:30 pm - 6:00 pm;"
1012680,"June - September","June "," September","Sat: 8:00 AM-1:00 PM;"
1005868,"June - October","June ",October,"Sat: 10:00 AM-1:00 PM;"
1005869,"October - June","October "," June","Sat: 10:00 AM-1:00 PM;"
1018732,"June - September","June "," September","Sun: 12:00 PM-4:00 PM;"
1005912,"May - October","May ",October,"Sat: 8:00 AM-12:00 PM;"
1008432,"May - October","May ",October,"Sat: 8:00 AM-12:00 PM;"
1019207,"June - September","June "," September","Mon: 3:00 PM-6:00 PM;"
1019281,"January - December","January "," December","Sat: 8:00 AM-2:00 PM;"
1019279,"January - December","January "," December","Wed: 9:00 AM-1:00 PM;"
1012027,"May - October","May ",October,"Wed: 1:00 PM-6:00 PM;"
1012540,"May - September","May "," September","Sat: 7:00 AM-3:00 PM;"
1002163,"June - October","June ",October,"sun:10:00 am - 2:00 pm;"
1004172,"January - December","January "," December","Sun: 9:00 AM-1:00 PM;"
1006558,"May - October","May ",October,"Thu:4:00 PM - 8:00 PM;"
1006559,"January - December","January "," December","sun:10:00 AM - 2:00 PM;"
1005691,"May - October","May ",October,"Thu: 4:00 PM-8:00 PM;"
1019538,"May - September","May "," September","Wed: 4:30 PM-7:30 PM;"
1018418,"July - October","July ",October,"Sat: 9:00 AM-2:00 PM;"
1018495,"January - December","January "," December","Tue: 10:00 AM-2:00 PM;"
1003898,"September - April","September "," April","Thu:10:00 AM - 2:00 PM;"
1018901,"May - October","May ",October,"Wed: 2:00 PM-6:00 PM;"
1008951,"May - October","May ",October,"Wed: 9:00 AM-3:00 PM;Sat: 9:00 AM-2:00 PM;"
1018817,"June - October","June ",October,"Thu: 5:00 PM-6:00 PM;"
1004319,"June - October","June ",October,"Thu:2:00 PM - 7:00 PM;"
1005985,"June - August","June "," August","Mon:4:00 PM - 8:00 PM;"
1009967,"July - September","July "," September","Thu: 4:00 PM-7:00 PM;"
1001313,"April - October","April ",October,"Fri: 2:00 PM-6:00 PM;"
1000614,"May - October","May ",October,"Sat: 8:30 AM-12:00 PM;"
1000631,"May - October","May ",October,"Tue: 12:00 PM-4:00 PM;Sat: 8:00 AM-12:00 PM;"
1001148,"June - October","June ",October,"Wed: 3:00 PM-6:00 PM;Sat: 8:00 AM-1:00 PM;"
1011151,"June - October","June ",October,"Sat: 9:00 AM-12:00 PM;"
1012408,"May - October","May ",October,"Tue: 4:00 PM-8:00 PM;Thu: 4:00 PM-8:00 PM;Sat: 8:00 AM-12:00 PM;"
1010710,"March - October","March ",October,"Fri: 7:00 AM-12:00 PM;"
1008179,"January - December","January "," December","Sun: 10:00 AM-2:00 PM;"
1010146,"January - December","January "," December","Fri: 10:00 AM-3:00 PM;"
1008965,"January - December","January "," December","Sat: 9:00 AM-12:00 PM;"
1003702,"January - December","January "," December","Sun: 9:00 AM-2:00 PM;"
1003706,"January - December","January "," December","Thu: 3:00 PM-6:30 PM;"
1016895,"May - August","May "," August","Wed: 3:00 PM-6:00 PM;"
1010168,"June - August","June "," August","Wed: 11:30 AM-4:30 PM;"
1008439,"January - December","January "," December","Fri: 3:00 PM-6:00 PM;"
1011089,"April - October","April ",October,"Mon: 4:00 AM-7:00 PM;"
1011088,"April - October","April ",October,"Thu: 4:00 PM-7:00 PM;"
1019494,"May - November","May ",November,"Sun: 9:00 AM-1:00 PM;"
1004807,"November - December","November "," December","Thu: 8:00 AM-1:00 PM;"
1002742,"May - September","May "," September","Thu: 4:00 PM-8:00 PM;"
1000824,"June - September","June "," September","Sun: 7:30 AM-11:00 AM;"
1012110,"January - December","January "," December","Sun: 9:00 AM-1:00 PM;"
1004785,"June - October","June ",October,"Tue: 4:00 PM-7:00 PM;"
1005431,"September - November","September ",November,"Sat: 8:00 AM-12:00 PM;"
1005911,"May - October","May ",October,"Sat: 9:00 AM-1:00 PM;"
1003450,"June - October","June ",October,"Wed:2:00 pm - 5:00 pm;"
1003451,"May - October","May ",October,"Fri:10:00 am - 2:30 pm;"
1011137,"May - October","May ",October,"Tue: 11:00 AM-3:00 PM;"
1000462,"May - October","May ",October,"Tue: 3:00 PM-7:00 PM;"
1005450,"July - October","July ",October,"Fri:4:30 PM - 6:00 PM;"
1016820,"June - October","June ",October,"Thu: 3:00 PM-7:30 PM;"
1018292,"June - September","June "," September","Thu: 12:00 PM-5:00 PM;"
1006822,"May - October","May ",October,"Thu:4:00 pm - 8:00 pm;"
1011227,"July - October","July ",October,"Fri: 1:00 PM-6:00 PM;"
1008909,"July - November","July ",November,"Thu: 3:00 PM-7:00 PM;"
1011233,"October - March","October "," March","Sat: 11:00 AM-4:00 PM;"
1010625,"May - October","May ",October,"Wed: 4:00 PM-8:00 PM;"
1001672,"June - September","June "," September","Tue: 4:00 PM-8:00 PM;"
1018922,"June - October","June ",October,"Sat: 8:00 AM-2:00 PM;"
1004599,"May - October","May ",October,"Tue:2:00 PM - 6:00 PM;Sat:8:00 AM - 12:00 PM;"
1016839,"June - October","June ",October,"Mon: 3:00 PM-7:00 PM;"
1011800,"May - October","May ",October,"Sat: 9:00 AM-1:00 PM;"
1004752,"May - September","May "," September","Fri: 3:00 PM-8:00 PM;"
1003502,"May - October","May ",October,"Fri: 4:00 PM-7:00 PM;"
1019177,"January - December","January "," December","Sun: 9:00 AM-1:00 PM;"
1019175,"November - April","November "," April","Sat: 9:00 AM-12:00 PM;"
1019176,"May - October","May ",October,"Sat: 9:00 AM-1:00 PM;"
1000612,"June - October","June ",October,"Sat: 9:00 AM-12:30 PM;"
1002383,"January - December","January "," December","Tue: 7:00 AM-2:00 PM;Wed: 7:00 AM-2:00 PM;Thu: 7:00 AM-2:00 PM;Fri: 7:00 AM-2:00 PM;Sat: 7:00 AM-2:00 PM;"
1019435,"June - September","June "," September","Sat: 10:00 AM-2:00 PM;"
1008811,"May - December","May "," December","Thu: 3:00 PM-6:00 PM;"
1001651,"April - December","April "," December","Tue: 11:00 AM-7:00 PM;"
1002092,"July - October","July ",October,"Thu: 11:00 AM-3:00 PM;"
1001335,"June - October","June ",October,"Tue: 12:00 PM-6:00 PM;"
1018518,"January - December","January "," December","Sat: 9:00 AM-12:00 PM;"
1011538,"May - August","May "," August","Thu: 8:30 AM-12:30 PM;"
1012442,"May - September","May "," September","Fri: 8:30 AM-1:30 PM;"
1007338,"May - October","May ",October,"Thu: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1003327,"June - November","June ",November,"Wed: 8:30 AM-2:00 PM;Sat: 8:30 AM-2:00 PM;"
1000628,"May - October","May ",October,"Thu: 4:00 PM-7:00 PM;"
1005570,"July - September","July "," September","Sat:7:00 AM - 2:00 PM;"
1006188,"November - April","November "," April","Thu: 4:00 PM-6:00 PM;"
1018546,"May - September","May "," September","Thu: 3:30 PM-7:00 PM;"
1006381,"May - October","May ",October,"Wed: 4:00 PM-6:00 PM;"
1011672,"June - August","June "," August","Thu: 4:00 PM-6:00 PM;"
1006501,"October - November","October ",November,"Sat: 9:00 AM-12:00 PM;"
1001855,"April - December","April "," December","Sat: 9:00 AM-1:00 PM;"
1000481,"May - October","May ",October,"Sat: 8:00 AM-12:00 PM;"
1002419,"June - August","June "," August","Wed: 7:30 AM-4:00 PM;Thu: 7:30 AM-4:00 PM;Fri: 7:30 AM-4:00 PM;Sat: 6:00 AM-3:00 PM;Sun: 7:00 AM-3:00 PM;"
1001120,"May - October","May ",October,"Sat:8:00 AM - 12:00 PM;"
1011745,"May - October","May ",October,"Sat: 8:00 AM-12:00 PM;"
1000117,"June - September","June "," September","Sat:9:00 AM - 12:00 PM;"
1002705,"April - October","April ",October,"Tue:6:00 am - 1:00 pm;Thu:6:00 am - 1:00 pm;Sat:6:00 am - 1:00 pm;"
1012249,"July - October","July ",October,"Tue: 9:00 AM-12:30 PM;"
1005201,"May - October","May ",October,"Thu: 2:00 PM-7:00 PM;"
1012046,"June - September","June "," September","Sat: 9:00 AM-2:00 PM;"
1011334,"May - September","May "," September","Fri: 3:00 PM-7:00 PM;"
1019360,"November - February","November "," February","Sat: 8:00 AM-12:00 PM;"
1011658,"June - September","June "," September","Fri: 3:00 PM-6:00 PM;"
1004168,"June - October","June ",October,"Sat: 10:00 AM-2:00 PM;"
1002229,"July - October","July ",October,"Sat:10:00 am - 4:00 pm;"
1002230,"June - October","June ",October,"Sat:10:00 am - 4:00 pm;"
1001166,"June - September","June "," September","Sat:8:00 am - 12:00 pm;"
1006539,"March - December","March "," December","Tue: 10:00 AM-1:00 PM;"
1018587,"June - October","June ",October,"Wed: 4:00 PM-6:00 PM;Fri: 8:30 AM-11:00 AM;"
1002777,"October - May","October "," May","Fri:5:00 PM - 8:00 PM;Sat:9:00 PM - 4:00 PM;"
1002778,"June - September","June "," September","Sat:4:00 AM - 9:00 PM;"
1008858,"June - August","June "," August","Tue: 5:00 PM-7:00 PM;"
1004052,"June - October","June ",October,"Sun: 10:00 AM-2:00 PM;"
1011624,"January - December","January "," December","Sat: 9:00 AM-2:00 PM;"
1011119,"May - September","May "," September","Tue: 4:30 PM-6:00 PM;"
1001102,"November - March","November "," March","Wed: 4:00 PM-5:00 PM;"
1001106,"May - October","May ",October,"Sat:7:00 am - 11:00 am;"
1004199,"May - October","May ",October,"Sat: 8:00 AM-11:00 AM;"
1006837,"June - September","June "," September","Wed: 4:00 PM-8:00 PM;"
1002207,"June - October","June ",October,"Thu: 4:00 PM-6:00 PM;"
1006434,"May - November","May ",November,"Sat:7:30 AM - 11:30 AM;"
1018147,"May - September","May "," September","Thu: 5:30 PM-9:00 PM;"
1008960,"June - September","June "," September","Sun: 10:00 AM-1:00 PM;"
1011247,"June - September","June "," September","Wed: 2:00 PM-6:00 PM;"
1001258,"June - September","June "," September","Sat:8:00 AM - 12:00 PM;"
1001819,"June - September","June "," September","Tue: 9:00 AM-1:00 PM;"
1004786,"July - October","July ",October,"Sat: 7:00 AM-11:00 AM;"
1005791,"June - October","June ",October,"Sat: 8:00 AM-12:00 PM;"
1000782,"June - October","June ",October,"Wed:2:00 PM - 7:00 PM;"
1006625,"May - October","May ",October,"Sat:9:00 AM - 1:00 PM;"
1008513,"April - November","April ",November,"Sat: 9:00 AM-12:30 PM;"
1005172,"May - September","May "," September","Fri:3:00 PM - 7:00 PM;"
1019501,"May - October","May ",October,"Thu: 7:00 AM-1:00 PM;"
1007237,"June - October","June ",October,"Sat:7:00 AM - 11:30 PM;"
1009779,"January - December","January "," December","Thu: 3:00 PM-6:30 PM;"
1009780,"January - December","January "," December","Sat: 8:00 AM-12:00 PM;"
1005256,"January - December","January "," December","Mon: 8:30 AM-9:30 AM;"
1012216,"January - December","January "," December","Sun: 8:00 AM-2:00 PM;"
1004567,"July - October","July ",October,"Sat:8:00 AM - 3:00 PM;"
1001942,"June - September","June "," September","Tue:3:00 PM - 6:00 PM;"
1005657,"June - October","June ",October,"Wed: 12:00 PM-4:30 PM;"
1001534,"June - October","June ",October,"Tue: 3:00 PM-6:00 PM;"
1008221,"December - December","December "," December","Sat: 10:00 AM-2:00 PM;"
1012225,"May - October","May ",October,"Thu: 3:00 PM-7:00 PM;"
1018632,"June - October","June ",October,"Thu: 3:00 PM-6:30 PM;"
1008604,"June - October","June ",October,"Thu: 3:00 PM-6:30 PM;"
1018386,"May - October","May ",October,"Thu: 3:00 PM-6:00 PM;"
1010154,"January - December","January "," December","Tue: -10:00 PM;Sun: 8:00 AM-;"
1008350,"April - September","April "," September","Sun: 10:00 AM-4:00 PM;"
1005022,"September - May","September "," May","Tue:11:00 am - 4:00 pm;"
1003980,"June - September","June "," September","Wed: 4:00 PM-7:00 PM;"
1018217,"May - October","May ",October,"Sat: 8:00 AM-1:00 PM;"
1018998,"May - September","May "," September","Wed: 4:00 PM-6:00 PM;"
1012348,"July - October","July ",October,"Thu: 3:00 PM-7:00 PM;"
1005257,"January - December","January "," December","Mon: 6:30 AM-7:30 AM;"
1001676,"July - September","July "," September","Thu:2:00 PM - 6:00 PM;"
1011486,"June - September","June "," September","Sat: 7:00 AM-11:00 AM;"
1019111,"April - October","April ",October,"Sat: 8:00 AM-1:00 PM;"
1004368,"April - November","April ",November,"Fri: 3:00 PM-6:00 PM;"
1010286,"June - September","June "," September","Wed: 8:30 AM-11:30 AM;Sat: 8:30 AM-11:30 AM;"
1018310,"July - September","July "," September","Tue: 4:00 PM-6:00 PM;"
1000334,"June - August","June "," August","Tue: 4:30 PM-7:30 PM;"
1010120,"June - September","June "," September","Thu: 4:00 PM-7:00 PM;"
1005218,"September - September","September "," September","Fri: 4:00 PM-7:00 PM;"
1016799,"June - September","June "," September","Sat: 9:00 AM-2:00 PM;"
1018405,"May - October","May ",October,"Tue: 4:00 PM-6:30 PM;"
1001878,"January - December","January "," December","Sun: 9:00 AM-2:00 PM;"
1008288,"January - December","January "," December","Tue: 3:00 AM-6:00 PM;"
1008913,"July - November","July ",November,"Thu: 2:00 PM-6:00 PM;"
1011123,"May - September","May "," September","Thu: 3:00 PM-6:00 PM;"
1018295,"June - November","June ",November,"Sat: 9:00 AM-12:00 PM;"
1010711,"May - September","May "," September","Thu: 3:00 PM-7:00 PM;"
1019472,"May - September","May "," September","Thu: 4:00 PM-8:00 PM;"
1001511,"November - April","November "," April","Wed:7:30 AM - 1:30 PM;"
1010360,"July - September","July "," September","Thu: 5:00 PM-8:00 PM;"
1012838,"January - December","January "," December","Sat: 9:00 AM-12:00 PM;"
